r4;piO;piP;piR;piF;cV;cS;cT
000,360000000;000,005826664;000,009557951;000,000000000;000,000000000;000,095579511;000,049846154;000,145425665;
000,350000000;000,005060528;000,010090988;000,000000000;000,000000000;000,100909876;000,047727273;000,148637149;
000,340000000;000,003929218;000,010996155;000,000000000;000,000000000;000,109961553;000,045671642;000,155633195;
000,330000000;000,003641685;000,011064197;000,000000000;000,000000000;000,110641970;000,043676471;000,154318441;
000,320000000;000,004461288;000,010031466;000,000000000;000,000000000;000,100314660;000,041739130;000,142053791;
000,310000000;000,004547375;000,009738339;000,000000000;000,000000000;000,097383389;000,039857143;000,137240532;
000,300000000;000,004791919;000,009292588;000,000000000;000,000000000;000,092925885;000,038028169;000,130954054;
000,290000000;000,003385868;000,010503021;000,000000000;000,000000000;000,105030210;000,036250000;000,141280210;
000,280000000;000,004810335;000,008888295;000,000000000;000,000000000;000,088882954;000,034520548;000,123403502;
000,270000000;000,003406163;000,010107351;000,000000000;000,000000000;000,101073505;000,032837838;000,133911343;
000,260000000;000,003687977;000,009645357;000,000000000;000,000000000;000,096453567;000,031200000;000,127653567;
000,250000000;000,002267000;000,010890895;000,000000000;000,000000000;000,108908949;000,029605263;000,138514212;
000,240000000;000,002751607;000,010235406;000,000000000;000,000000000;000,102354057;000,028051948;000,130406005;
000,230000000;000,003030284;000,009790229;000,000000000;000,000000000;000,097902286;000,026538462;000,124440748;
000,220000000;000,003171399;000,009486829;000,000000000;000,000000000;000,094868291;000,025063291;000,119931582;
000,210000000;000,003016991;000,009483009;000,000000000;000,000000000;000,094830090;000,023625000;000,118455090;
000,200000000;000,003441403;000,008904276;000,000000000;000,000000000;000,089042759;000,022222222;000,111264981;
000,190000000;000,003343157;000,008851965;000,000000000;000,000000000;000,088519646;000,020853659;000,109373305;
000,180000000;000,003349602;000,008698591;000,000000000;000,000000000;000,086985909;000,019518072;000,106503981;
000,170000000;000,003632131;000,008272631;000,000000000;000,000000000;000,082726310;000,018214286;000,100940595;
000,160000000;000,003327571;000,008437135;000,000000000;000,000000000;000,084371348;000,016941176;000,101312525;
000,150000000;000,002961623;000,008666284;000,000000000;000,000000000;000,086662839;000,015697674;000,102360513;
000,140000000;000,003065398;000,008428854;000,000000000;000,000000000;000,084288544;000,014482759;000,098771302;
000,130000000;000,002296514;000,009067122;000,000000000;000,000000000;000,090671224;000,013295455;000,103966678;
000,120000000;000,001053176;000,010182779;000,000000000;000,000000000;000,101827793;000,012134831;000,113962624;
000,110000000;000,000762817;000,010348294;000,000000000;000,000000000;000,103482939;000,011000000;000,114482939;
000,100000000;000,000995803;000,009993208;000,000000000;000,000000000;000,099932077;000,009890110;000,109822187;
000,090000000;000,001173578;000,009695988;000,000000000;000,000000000;000,096959875;000,008804348;000,105764223;
000,080000000;000,001327933;000,009424755;000,000000000;000,000000000;000,094247552;000,007741935;000,101989488;
000,070000000;000,001243506;000,009394792;000,000000000;000,000000000;000,093947922;000,006702128;000,100650050;
000,060000000;000,001725040;000,008801276;000,000000000;000,000000000;000,088012763;000,005684211;000,093696973;
000,050000000;000,001513508;000,008903159;000,000000000;000,000000000;000,089031590;000,004687500;000,093719090;
000,040000000;000,001482605;000,008826673;000,000000000;000,000000000;000,088266734;000,003711340;000,091978074;
000,030000000;000,001451399;000,008752682;000,000000000;000,000000000;000,087526824;000,002755102;000,090281926;
000,020000000;000,001156389;000,008944621;000,000000000;000,000000000;000,089446210;000,001818182;000,091264392;
000,010000000;000,000600956;000,009399044;000,000000000;000,000000000;000,093990442;000,000900000;000,094890442;
r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,597453315;000,402546685;000,000000000;000,000000000;004,025466847;009,000000000;013,025466847;
000,990000000;000,220862209;000,279137791;000,000000000;000,000000000;002,791377909;004,455000000;007,246377909;
000,980000000;000,153682600;000,179650734;000,000000000;000,000000000;001,796507337;002,940000000;004,736507337;
000,970000000;000,131324247;000,118675753;000,000000000;000,000000000;001,186757528;002,182500000;003,369257528;
000,960000000;000,058804401;000,141195599;000,000000000;000,000000000;001,411955989;001,728000000;003,139955989;
000,950000000;000,066866567;000,099800100;000,000000000;000,000000000;000,998000999;001,425000000;002,423000999;
000,940000000;000,056486418;000,086370725;000,000000000;000,000000000;000,863707250;001,208571429;002,072278678;
000,930000000;000,051036364;000,073963636;000,000000000;000,000000000;000,739636357;001,046250000;001,785886357;
000,920000000;000,045988587;000,065122524;000,000000000;000,000000000;000,651225240;000,920000000;001,571225240;
000,910000000;000,050168121;000,049831879;000,000000000;000,000000000;000,498318785;000,819000000;001,317318785;
000,900000000;000,051121563;000,039787528;000,000000000;000,000000000;000,397875278;000,736363636;001,134238914;
000,890000000;000,038436720;000,044896613;000,000000000;000,000000000;000,448966129;000,667500000;001,116466129;
000,880000000;000,024426682;000,052496395;000,000000000;000,000000000;000,524963949;000,609230769;001,134194718;
000,870000000;000,023908493;000,047520079;000,000000000;000,000000000;000,475200786;000,559285714;001,034486500;
000,860000000;000,024750712;000,041915954;000,000000000;000,000000000;000,419159543;000,516000000;000,935159543;
000,850000000;000,025360166;000,037139834;000,000000000;000,000000000;000,371398343;000,478125000;000,849523343;
000,840000000;000,029081316;000,029742214;000,000000000;000,000000000;000,297422137;000,444705882;000,742128019;
000,830000000;000,026420496;000,029135059;000,000000000;000,000000000;000,291350595;000,415000000;000,706350595;
000,820000000;000,029523139;000,023108440;000,000000000;000,000000000;000,231084399;000,388421053;000,619505451;
000,810000000;000,024198009;000,025801991;000,000000000;000,000000000;000,258019911;000,364500000;000,622519911;
000,800000000;000,016928916;000,030690132;000,000000000;000,000000000;000,306901321;000,342857143;000,649758463;
000,790000000;000,016064310;000,029390236;000,000000000;000,000000000;000,293902356;000,323181818;000,617084174;
000,780000000;000,010362848;000,033115413;000,000000000;000,000000000;000,331154134;000,305217391;000,636371525;
000,770000000;000,015863056;000,025803611;000,000000000;000,000000000;000,258036111;000,288750000;000,546786111;
000,760000000;000,014898842;000,025101158;000,000000000;000,000000000;000,251011580;000,273600000;000,524611580;
000,750000000;000,013374887;000,025086651;000,000000000;000,000000000;000,250866515;000,259615385;000,510481899;
000,740000000;000,011102624;000,025934413;000,000000000;000,000000000;000,259344135;000,246666667;000,506010801;
000,730000000;000,012839719;000,022874567;000,000000000;000,000000000;000,228745666;000,234642857;000,463388523;
000,720000000;000,013849201;000,020633558;000,000000000;000,000000000;000,206335581;000,223448276;000,429783857;
000,710000000;000,013270921;000,020062412;000,000000000;000,000000000;000,200624121;000,213000000;000,413624121;
000,700000000;000,011683142;000,020574923;000,000000000;000,000000000;000,205749226;000,203225806;000,408975032;
000,690000000;000,010770618;000,020479382;000,000000000;000,000000000;000,204793817;000,194062500;000,398856317;
000,680000000;000,015407004;000,014896026;000,000000000;000,000000000;000,148960262;000,185454545;000,334414808;
000,670000000;000,013272017;000,016139748;000,000000000;000,000000000;000,161397476;000,177352941;000,338750417;
000,660000000;000,011341400;000,017230029;000,000000000;000,000000000;000,172300290;000,169714286;000,342014576;
000,650000000;000,008942946;000,018834832;000,000000000;000,000000000;000,188348323;000,162500000;000,350848323;
000,640000000;000,008428881;000,018598146;000,000000000;000,000000000;000,185981456;000,155675676;000,341657131;
000,630000000;000,007506281;000,018809509;000,000000000;000,000000000;000,188095087;000,149210526;000,337305613;
000,620000000;000,008175153;000,017465873;000,000000000;000,000000000;000,174658727;000,143076923;000,317735650;
000,610000000;000,006502415;000,018497585;000,000000000;000,000000000;000,184975853;000,137250000;000,322225853;
000,600000000;000,008604563;000,015785680;000,000000000;000,000000000;000,157856805;000,131707317;000,289564122;
000,590000000;000,006431879;000,017377645;000,000000000;000,000000000;000,173776447;000,126428571;000,300205018;
000,580000000;000,006386648;000,016869166;000,000000000;000,000000000;000,168691663;000,121395349;000,290087011;
000,570000000;000,009436505;000,013290768;000,000000000;000,000000000;000,132907675;000,116590909;000,249498584;
000,560000000;000,006284112;000,015938111;000,000000000;000,000000000;000,159381106;000,112000000;000,271381106;
000,550000000;000,006182607;000,015556524;000,000000000;000,000000000;000,155565236;000,107608696;000,263173931;
000,540000000;000,005072868;000,016203727;000,000000000;000,000000000;000,162037273;000,103404255;000,265441529;
000,530000000;000,005852865;000,014980468;000,000000000;000,000000000;000,149804684;000,099375000;000,249179684;
000,520000000;000,005543245;000,014864918;000,000000000;000,000000000;000,148649183;000,095510204;000,244159387;
000,510000000;000,003397238;000,016602762;000,000000000;000,000000000;000,166027623;000,091800000;000,257827623;
000,500000000;000,004327529;000,015280314;000,000000000;000,000000000;000,152803137;000,088235294;000,241038431;
000,490000000;000,005220400;000,014010369;000,000000000;000,000000000;000,140103692;000,084807692;000,224911385;
000,480000000;000,005214469;000,013653456;000,000000000;000,000000000;000,136534559;000,081509434;000,218043993;
000,470000000;000,005392944;000,013125574;000,000000000;000,000000000;000,131255741;000,078333333;000,209589074;
000,460000000;000,004866353;000,013315465;000,000000000;000,000000000;000,133154648;000,075272727;000,208427375;
000,450000000;000,005118791;000,012738352;000,000000000;000,000000000;000,127383523;000,072321429;000,199704951;
000,440000000;000,005590891;000,011952969;000,000000000;000,000000000;000,119529686;000,069473684;000,189003370;
000,430000000;000,003722776;000,013518604;000,000000000;000,000000000;000,135186037;000,066724138;000,201910174;
000,420000000;000,005219301;000,011729852;000,000000000;000,000000000;000,117298518;000,064067797;000,181366315;
000,410000000;000,003543736;000,013122931;000,000000000;000,000000000;000,131229307;000,061500000;000,192729307;
000,400000000;000,004709929;000,011683514;000,000000000;000,000000000;000,116835139;000,059016393;000,175851532;
000,390000000;000,003579767;000,012549265;000,000000000;000,000000000;000,125492652;000,056612903;000,182105555;
000,380000000;000,004976500;000,010896515;000,000000000;000,000000000;000,108965154;000,054285714;000,163250869;
000,370000000;000,003807625;000,011817375;000,000000000;000,000000000;000,118173749;000,052031250;000,170204999;
000,360000000;000,004328581;000,011056035;000,000000000;000,000000000;000,110560347;000,049846154;000,160406501;
000,350000000;000,004230342;000,010921173;000,000000000;000,000000000;000,109211733;000,047727273;000,156939006;
000,340000000;000,002541959;000,012383414;000,000000000;000,000000000;000,123834142;000,045671642;000,169505784;
000,330000000;000,002904290;000,011801592;000,000000000;000,000000000;000,118015924;000,043676471;000,161692395;
000,320000000;000,001928548;000,012564205;000,000000000;000,000000000;000,125642053;000,041739130;000,167381183;
000,310000000;000,001663347;000,012622367;000,000000000;000,000000000;000,126223674;000,039857143;000,166080817;
000,300000000;000,002609674;000,011474833;000,000000000;000,000000000;000,114748333;000,038028169;000,152776502;
000,290000000;000,002045104;000,011843785;000,000000000;000,000000000;000,118437851;000,036250000;000,154687851;
000,280000000;000,001785307;000,011913323;000,000000000;000,000000000;000,119133235;000,034520548;000,153653783;
000,270000000;000,002156634;000,011356879;000,000000000;000,000000000;000,113568793;000,032837838;000,146406631;
000,260000000;000,001523534;000,011809799;000,000000000;000,000000000;000,118097992;000,031200000;000,149297992;
000,250000000;000,001831710;000,011326185;000,000000000;000,000000000;000,113261848;000,029605263;000,142867111;
000,240000000;000,001953804;000,011033209;000,000000000;000,000000000;000,110332090;000,028051948;000,138384038;
000,230000000;000,002194523;000,010625990;000,000000000;000,000000000;000,106259900;000,026538462;000,132798362;
000,220000000;000,001862652;000,010795576;000,000000000;000,000000000;000,107955756;000,025063291;000,133019047;
000,210000000;000,002184121;000,010315879;000,000000000;000,000000000;000,103158785;000,023625000;000,126783785;
000,200000000;000,002314676;000,010031003;000,000000000;000,000000000;000,100310031;000,022222222;000,122532253;
