time;density;r4
time;density;r4
0.0;0.08170673201972152;0.03999999999999925;
0.01;0.09821454375205915;0.03999999999999925;
0.02;0.1156211526567982;0.03999999999999925;
0.03;0.13189487252108273;0.03999999999999925;
0.04;0.147813119548694;0.03999999999999925;
0.05;0.16379494708367773;0.03999999999999925;
0.06;0.17879994682357564;0.03999999999999925;
0.07;0.19386563704778362;0.03999999999999925;
0.08;0.20883017646480817;0.03999999999999925;
0.09;0.22388141657370425;0.03999999999999925;
0.1;0.2384095625083088;0.03999999999999925;
0.11;0.2522990133461265;0.03999999999999925;
0.12;0.2657780809090856;0.03999999999999925;
0.13;0.27971666213896385;0.03999999999999925;
0.14;0.2933113306244184;0.03999999999999925;
0.15;0.3064840557427648;0.03999999999999925;
0.16;0.3196856810917351;0.03999999999999925;
0.17;0.3319249287609315;0.03999999999999925;
0.18;0.34403990543844537;0.03999999999999925;
0.19;0.35601038096284005;0.03999999999999925;
0.2;0.3676658439734349;0.03999999999999925;
0.21;0.3791074452774133;0.03999999999999925;
0.22;0.3906473073655128;0.03999999999999925;
0.23;0.40236635088348005;0.03999999999999925;
0.24;0.4133513285436018;0.03999999999999925;
0.25;0.4245588379795271;0.03999999999999925;
0.26;0.4355409256165864;0.03999999999999925;
0.27;0.4459334485489194;0.03999999999999925;
0.28;0.45622771069713136;0.03999999999999925;
0.29;0.4662849909542278;0.03999999999999925;
0.3;0.4761226294585831;0.03999999999999925;
0.31;0.4857868665791953;0.03999999999999925;
0.32;0.4953817431463103;0.03999999999999925;
0.33;0.504560456392442;0.03999999999999925;
0.34;0.5136755891312013;0.03999999999999925;
0.35000000000000003;0.5225942003017184;0.03999999999999925;
0.36;0.5315648318873585;0.03999999999999925;
0.37;0.5404140825043784;0.03999999999999925;
0.38;0.5486795484627968;0.03999999999999925;
0.39;0.5569421243981527;0.03999999999999925;
0.4;0.5652364905871949;0.03999999999999925;
0.41000000000000003;0.5731464837089401;0.03999999999999925;
0.42;0.5809928963233127;0.03999999999999925;
0.43;0.5886832476923167;0.03999999999999925;
0.44;0.5960354663630217;0.03999999999999925;
0.45;0.6035813165789065;0.03999999999999925;
0.46;0.6113785988012186;0.03999999999999925;
0.47000000000000003;0.6189851395014134;0.03999999999999925;
0.48;0.625898074666636;0.03999999999999925;
0.49;0.6328745903392311;0.03999999999999925;
0.5;0.6400187273494444;0.03999999999999925;
0.51;0.6464056783173131;0.03999999999999925;
0.52;0.6531567721910422;0.03999999999999925;
0.53;0.6591969203914249;0.03999999999999925;
0.54;0.6654480402753615;0.03999999999999925;
0.55;0.6716500297672376;0.03999999999999925;
0.56;0.677484986330191;0.03999999999999925;
0.5700000000000001;0.6836089451993829;0.03999999999999925;
0.58;0.6893080706784042;0.03999999999999925;
0.59;0.6950071961574255;0.03999999999999925;
0.6;0.7006080608523257;0.03999999999999925;
0.61;0.7060326341404206;0.03999999999999925;
0.62;0.7117230895502548;0.03999999999999925;
0.63;0.7171158725846634;0.03999999999999925;
0.64;0.722170522920773;0.03999999999999925;
0.65;0.7271933830031965;0.03999999999999925;
0.66;0.732065961886376;0.03999999999999925;
0.67;0.7368489500546216;0.03999999999999925;
0.68;0.7417446491223001;0.03999999999999925;
0.6900000000000001;0.7464813969215476;0.03999999999999925;
0.7000000000000001;0.7512008045824207;0.03999999999999925;
0.71;0.7557179106289269;0.03999999999999925;
0.72;0.7601223057760002;0.03999999999999925;
0.73;0.7642232485015231;0.03999999999999925;
0.74;0.7685553930720368;0.03999999999999925;
0.75;0.7726534457744973;0.03999999999999925;
0.76;0.7767399383847083;0.03999999999999925;
0.77;0.7806241293805525;0.03999999999999925;
