R4;piO:Simulado;piO:Modelado;piO:Diferença;piO:Porcentagem;
0,905;0,464983352;0,464998;0,000014648;0,0031501707;
0,904;0,464792631;0,464786;0,000006631;0,0014266679;
0,903;0,464560086;0,464575;0,000014914;0,0032102975;
0,902;0,46435942;0,464363;0,00000358;0,0007709516;
0,901;0,464132668;0,464151;0,000018332;0,0039496548;
0,9;0,463934502;0,463938;0,000003498;0,0007539829;
0,899;0,463707231;0,463726;0,000018769;0,0040475151;
0,898;0,463494965;0,463513;0,000018035;0,003891013;
0,897;0,463297213;0,4633;0,000002787;0,0006015559;
0,896;0,463067919;0,463086;0,000018081;0,0039045346;
0,895;0,462870833;0,462872;0,000001167;0,0002521219;
0,894;0,462640792;0,462658;0,000017208;0,0037194472;
0,893;0,462442598;0,462444;0,000001402;0,0003031723;
0,892;0,462211399;0,462229;0,000017601;0,0038079253;
0,891;0,462014842;0,462014;0,000000842;0,0001822454;
0,89;0,461782049;0,461799;0,000016951;0,003670712;
0,889;0,46158324;0,461584;0,00000076;0,0001646506;
0,888;0,461350521;0,461368;0,000017479;0,0037885877;
0,887;0,46117471;0,461152;0,00002271;0,0049245023;
0,886;0,460923618;0,460936;0,000012382;0,0026863092;
0,885;0,460740144;0,460719;0,000021144;0,0045892431;
0,884;0,460489737;0,460502;0,000012263;0,0026629989;
0,883;0,460273792;0,460285;0,000011208;0,0024350427;
0,882;0,460092947;0,460067;0,000025947;0,0056396717;
0,881;0,459838177;0,45985;0,000011823;0,0025710888;
0,88;0,459671889;0,459632;0,000039889;0,0086780879;
0,879;0,459403048;0,459413;0,000009952;0,002166266;
0,878;0,459228243;0,459195;0,000033243;0,0072391461;
0,877;0,45896443;0,458976;0,00001157;0,0025208607;
0,876;0,458834625;0,458756;0,000078625;0,0171372719;
0,875;0,458527233;0,458537;0,000009767;0,002130058;
0,874;0,458364763;0,458317;0,000047763;0,0104208466;
0,873;0,458104782;0,458097;0,000007782;0,0016987524;
0,872;0,457861639;0,457877;0,000015361;0,0033548874;
0,871;0,457663153;0,457656;0,000007153;0,0015629521;
0,87;0,457419633;0,457435;0,000015367;0,0033594408;
0,869;0,45722466;0,457214;0,00001066;0,002331485;
0,868;0,456977763;0,456992;0,000014237;0,0031154204;
0,867;0,456779124;0,45677;0,000009124;0,0019974843;
0,866;0,456560567;0,456548;0,000012567;0,0027525752;
0,865;0,456312036;0,456326;0,000013964;0,0030601398;
0,864;0,456114795;0,456103;0,000011795;0,0025860052;
0,863;0,455865684;0,45588;0,000014316;0,0031403494;
0,862;0,455673382;0,455657;0,000016382;0,0035951836;
0,861;0,455419765;0,455433;0,000013235;0,0029060679;
0,86;0,455195201;0,455209;0,000013799;0,0030314008;
0,859;0,454964815;0,454985;0,000020185;0,0044365084;
0,858;0,454754187;0,45476;0,000005813;0,0012782648;
0,857;0,454515151;0,454536;0,000020849;0,0045869806;
0,856;0,454303673;0,45431;0,000006327;0,0013926711;
0,855;0,454080209;0,454085;0,000004791;0,0010550944;
0,854;0,453839199;0,453859;0,000019801;0,0043629039;
0,853;0,45362776;0,453633;0,00000524;0,0011551255;
0,852;0,453387492;0,453407;0,000019508;0,0043026287;
0,851;0,453176006;0,45318;0,000003994;0,0008813314;
0,85;0,45294867;0,452953;0,00000433;0,0009559536;
0,849;0,45270689;0,452726;0,00001911;0,0042211853;
0,848;0,452495023;0,452498;0,000002977;0,0006579056;
0,847;0,45225116;0,452271;0,00001984;0,0043868466;
0,846;0,452038939;0,452042;0,000003061;0,0006771518;
0,845;0,451791485;0,451814;0,000022515;0,0049833695;
0,844;0,451574861;0,451585;0,000010139;0,0022452282;
0,843;0,45133327;0,451356;0,00002273;0,005036063;
0,842;0,451115584;0,451126;0,000010416;0,002308916;
0,841;0,450874621;0,450897;0,000022379;0,0049633409;
0,84;0,450656922;0,450667;0,000010078;0,002236266;
0,839;0,450413924;0,450436;0,000022076;0,0049011493;
0,838;0,450195316;0,450206;0,000010684;0,002373164;
0,837;0,449952822;0,449975;0,000022178;0,0049288397;
0,836;0,449734474;0,449743;0,000008526;0,0018957673;
0,835;0,449502364;0,449512;0,000009636;0,002143681;
0,834;0,449258214;0,44928;0,000021786;0,0048492095;
0,833;0,4490393;0,449047;0,0000077;0,0017147573;
0,832;0,448793055;0,448815;0,000021945;0,004889662;
0,831;0,448573384;0,448582;0,000008616;0,0019207375;
0,83;0,448349749;0,448349;0,000000749;0,0001670572;
0,829;0,448097121;0,448115;0,000017879;0,0039899036;
0,828;0,447881211;0,447881;0,000000211;4,71107169819462E-005;
0,827;0,44762884;0,447647;0,00001816;0,0040568502;
0,826;0,447415131;0,447413;0,000002131;0,0004762926;
0,825;0,447160291;0,447178;0,000017709;0,0039602464;
0,824;0,446944323;0,446943;0,000001323;0,0002960105;
0,823;0,446710572;0,446707;0,000003572;0,0007996261;
0,822;0,446454116;0,446472;0,000017884;0,0040057066;
0,821;0,446237771;0,446235;0,000002771;0,0006209713;
0,82;0,445981357;0,445999;0,000017643;0,0039559167;
0,819;0,445768592;0,445762;0,000006592;0,0014788051;
0,818;0,445508297;0,445525;0,000016703;0,0037491304;
0,817;0,445270369;0,445288;0,000017631;0,0039595383;
0,816;0,445043511;0,44505;0,000006489;0,0014580491;
0,815;0,444791377;0,444812;0,000020623;0,0046364482;
0,814;0,444566855;0,444573;0,000006145;0,0013822347;
0,813;0,444313925;0,444335;0,000021075;0,0047431555;
0,812;0,444091507;0,444096;0,000004493;0,0010117233;
0,811;0,443836001;0,443856;0,000019999;0,0045058421;
0,81;0,443595962;0,443617;0,000021038;0,0047424916;
0,809;0,443373502;0,443377;0,000003498;0,000788948;
0,808;0,443116116;0,443136;0,000019884;0,0044872107;
0,807;0,442875207;0,442895;0,000019793;0,0044691049;
0,806;0,442652366;0,442654;0,000001634;0,0003691377;
0,805;0,442393305;0,442413;0,000019695;0,0044518218;
0,804;0,442167775;0,442171;0,000003225;0,0007293585;
0,803;0,44190909;0,441929;0,00001991;0,0045053501;
0,802;0,441714662;0,441687;0,000027662;0,0062626099;
0,801;0,441429468;0,441444;0,000014532;0,003291978;
0,8;0,441186054;0,441201;0,000014946;0,003387629;
0,799;0,44100211;0,440957;0,00004511;0,0102294992;
0,798;0,440699623;0,440714;0,000014377;0,0032622595;
0,797;0,440502859;0,44047;0,000032859;0,0074597077;
0,796;0,440210711;0,440225;0,000014289;0,0032458929;
0,795;0,439955919;0,43998;0,000024081;0,0054733531;
0,794;0,439721825;0,439735;0,000013175;0,0029961675;
0,793;0,439465039;0,43949;0,000024961;0,0056796989;
0,792;0,4392301;0,439244;0,0000139;0,0031645782;
0,791;0,438984916;0,438998;0,000013084;0,002980468;
0,79;0,438726784;0,438751;0,000024216;0,005519456;
0,789;0,438491181;0,438504;0,000012819;0,0029233912;
0,788;0,438263341;0,438257;0,000006341;0,0014468575;
0,787;0,437991711;0,43801;0,000018289;0,0041755626;
0,786;0,437765947;0,437762;0,000003947;0,0009016274;
0,785;0,437495193;0,437513;0,000017807;0,0040701333;
0,784;0,437274669;0,437265;0,000009669;0,0022112204;
0,783;0,437024212;0,437016;0,000008212;0,0018790897;
0,782;0,436748738;0,436766;0,000017262;0,0039523088;
0,781;0,436529105;0,436517;0,000012105;0,0027730494;
0,78;0,43625002;0,436267;0,00001698;0,0038921877;
0,779;0,435999168;0,436016;0,000016832;0,0038604833;
0,778;0,435782958;0,435766;0,000016958;0,0038914624;
0,777;0,435498068;0,435515;0,000016932;0,0038878866;
0,776;0,435278224;0,435263;0,000015224;0,0034975943;
0,775;0,434994585;0,435011;0,000016415;0,003773539;
0,774;0,434736417;0,434759;0,000022583;0,005194507;
0,773;0,434498433;0,434507;0,000008567;0,0019716793;
0,772;0,43424391;0,434254;0,00001009;0,0023235519;
0,771;0,433978041;0,434001;0,000022959;0,0052902199;
0,77;0,433739499;0,433747;0,000007501;0,0017293641;
0,769;0,43347018;0,433493;0,00002282;0,0052643527;
0,768;0,433229932;0,433239;0,000009068;0,0020930929;
0,767;0,432961631;0,432984;0,000022369;0,0051663752;
0,766;0,432722121;0,432729;0,000006879;0,0015896912;
0,765;0,432465823;0,432474;0,000008177;0,0018907674;
0,764;0,432195718;0,432218;0,000022282;0,0051554018;
0,763;0,43195535;0,431962;0,00000665;0,0015394991;
0,762;0,431682759;0,431705;0,000022241;0,0051520304;
0,761;0,431441686;0,431448;0,000006314;0,0014634547;
0,76;0,431165843;0,431191;0,000025157;0,0058344756;
0,759;0,430907965;0,430933;0,000025035;0,0058096565;
0,758;0,43066115;0,430675;0,00001385;0,0032159338;
0,757;0,430403809;0,430417;0,000013191;0,0030647493;
0,756;0,430144563;0,430158;0,000013437;0,0031237847;
