r4;piO;piP;piR;piF;cV;cS;cT
000,360000000;000,220219772;000,779780228;000,000000000;000,000000000;007,797802276;006,120000000;013,917802276;
000,350000000;000,216901904;000,783098096;000,000000000;000,000000000;007,830980961;006,075000000;013,905980961;
000,340000000;000,214952992;000,785047008;000,000000000;000,000000000;007,850470080;006,030000000;013,880470080;
000,330000000;000,213027200;000,786972800;000,000000000;000,000000000;007,869728002;005,985000000;013,854728002;
000,320000000;000,213031658;000,786968342;000,000000000;000,000000000;007,869683425;005,940000000;013,809683425;
000,310000000;000,212960564;000,787039436;000,000000000;000,000000000;007,870394359;005,895000000;013,765394359;
000,300000000;000,210142337;000,789857663;000,000000000;000,000000000;007,898576634;005,850000000;013,748576634;
000,290000000;000,207396511;000,792603489;000,000000000;000,000000000;007,926034894;005,805000000;013,731034894;
000,280000000;000,208790921;000,791209079;000,000000000;000,000000000;007,912090790;005,760000000;013,672090790;
000,270000000;000,206841669;000,793158331;000,000000000;000,000000000;007,931583314;005,715000000;013,646583314;
000,260000000;000,204558631;000,795441369;000,000000000;000,000000000;007,954413691;005,670000000;013,624413691;
000,250000000;000,202892063;000,797107937;000,000000000;000,000000000;007,971079372;005,625000000;013,596079372;
000,240000000;000,200860113;000,799139887;000,000000000;000,000000000;007,991398866;005,580000000;013,571398866;
000,230000000;000,198856568;000,801143432;000,000000000;000,000000000;008,011434322;005,535000000;013,546434322;
000,220000000;000,204344290;000,795655710;000,000000000;000,000000000;007,956557097;005,490000000;013,446557097;
000,210000000;000,204440610;000,795559390;000,000000000;000,000000000;007,955593896;005,445000000;013,400593896;
000,200000000;000,204435323;000,795564677;000,000000000;000,000000000;007,955646771;005,400000000;013,355646771;
000,190000000;000,204691773;000,795308227;000,000000000;000,000000000;007,953082267;005,355000000;013,308082267;
000,180000000;000,202434084;000,797565916;000,000000000;000,000000000;007,975659156;005,310000000;013,285659156;
000,170000000;000,204223149;000,795776851;000,000000000;000,000000000;007,957768505;005,265000000;013,222768505;
000,160000000;000,201957796;000,798042204;000,000000000;000,000000000;007,980422039;005,220000000;013,200422039;
000,150000000;000,200463002;000,799536998;000,000000000;000,000000000;007,995369981;005,175000000;013,170369981;
000,140000000;000,205949882;000,794050118;000,000000000;000,000000000;007,940501178;005,130000000;013,070501178;
000,130000000;000,204928042;000,795071958;000,000000000;000,000000000;007,950719584;005,085000000;013,035719584;
000,120000000;000,206654235;000,793345765;000,000000000;000,000000000;007,933457647;005,040000000;012,973457647;
000,110000000;000,206327599;000,793672401;000,000000000;000,000000000;007,936724015;004,995000000;012,931724015;
000,100000000;000,205483503;000,794516497;000,000000000;000,000000000;007,945164966;004,950000000;012,895164966;
000,090000000;000,205020628;000,794979372;000,000000000;000,000000000;007,949793720;004,905000000;012,854793720;
000,080000000;000,204934475;000,795065525;000,000000000;000,000000000;007,950655251;004,860000000;012,810655251;
000,070000000;000,202803129;000,797196871;000,000000000;000,000000000;007,971968707;004,815000000;012,786968707;
000,060000000;000,202537574;000,797462426;000,000000000;000,000000000;007,974624262;004,770000000;012,744624262;
000,050000000;000,202461991;000,797538009;000,000000000;000,000000000;007,975380085;004,725000000;012,700380085;
000,040000000;000,201884093;000,798115907;000,000000000;000,000000000;007,981159068;004,680000000;012,661159068;
000,030000000;000,201959670;000,798040330;000,000000000;000,000000000;007,980403296;004,635000000;012,615403296;
000,020000000;000,200955349;000,799044651;000,000000000;000,000000000;007,990446511;004,590000000;012,580446511;
000,010000000;000,199531029;000,800468971;000,000000000;000,000000000;008,004689705;004,545000000;012,549689705;
