r4;piO;piP;piR;piF;cV;cS;cT
000,800000000;000,434472721;000,565527279;000,000000000;000,000000000;005,655272792;008,100000000;013,755272792;
000,790000000;000,434191899;000,565808101;000,000000000;000,000000000;005,658081014;008,055000000;013,713081014;
000,780000000;000,436144350;000,563855650;000,000000000;000,000000000;005,638556504;008,010000000;013,648556504;
000,770000000;000,435812357;000,564187643;000,000000000;000,000000000;005,641876426;007,965000000;013,606876426;
000,760000000;000,435159580;000,564840420;000,000000000;000,000000000;005,648404203;007,920000000;013,568404203;
000,750000000;000,432888352;000,567111648;000,000000000;000,000000000;005,671116481;007,875000000;013,546116481;
000,740000000;000,431341534;000,568658466;000,000000000;000,000000000;005,686584657;007,830000000;013,516584657;
000,730000000;000,430622203;000,569377797;000,000000000;000,000000000;005,693777968;007,785000000;013,478777968;
000,720000000;000,434943082;000,565056918;000,000000000;000,000000000;005,650569176;007,740000000;013,390569176;
000,710000000;000,434812869;000,565187131;000,000000000;000,000000000;005,651871307;007,695000000;013,346871307;
000,700000000;000,435608928;000,564391072;000,000000000;000,000000000;005,643910716;007,650000000;013,293910716;
000,690000000;000,437828231;000,562171769;000,000000000;000,000000000;005,621717694;007,605000000;013,226717694;
000,680000000;000,432633342;000,567366658;000,000000000;000,000000000;005,673666584;007,560000000;013,233666584;
000,670000000;000,428987058;000,571012942;000,000000000;000,000000000;005,710129417;007,515000000;013,225129417;
000,660000000;000,428525546;000,571474454;000,000000000;000,000000000;005,714744542;007,470000000;013,184744542;
000,650000000;000,433487693;000,566512307;000,000000000;000,000000000;005,665123069;007,425000000;013,090123069;
000,640000000;000,428626766;000,571373234;000,000000000;000,000000000;005,713732335;007,380000000;013,093732335;
000,630000000;000,423886119;000,576113881;000,000000000;000,000000000;005,761138806;007,335000000;013,096138806;
000,620000000;000,421413297;000,578586703;000,000000000;000,000000000;005,785867031;007,290000000;013,075867031;
000,610000000;000,419917865;000,580082135;000,000000000;000,000000000;005,800821347;007,245000000;013,045821347;
000,600000000;000,417775792;000,582224208;000,000000000;000,000000000;005,822242083;007,200000000;013,022242083;
000,590000000;000,412316642;000,587683358;000,000000000;000,000000000;005,876833580;007,155000000;013,031833580;
000,580000000;000,411487092;000,588512908;000,000000000;000,000000000;005,885129076;007,110000000;012,995129076;
000,570000000;000,410092610;000,589907390;000,000000000;000,000000000;005,899073904;007,065000000;012,964073904;
000,560000000;000,408417261;000,591582739;000,000000000;000,000000000;005,915827388;007,020000000;012,935827388;
000,550000000;000,404958912;000,595041088;000,000000000;000,000000000;005,950410881;006,975000000;012,925410881;
000,540000000;000,403101497;000,596898503;000,000000000;000,000000000;005,968985026;006,930000000;012,898985026;
000,530000000;000,397337492;000,602662508;000,000000000;000,000000000;006,026625077;006,885000000;012,911625077;
000,520000000;000,393689512;000,606310488;000,000000000;000,000000000;006,063104878;006,840000000;012,903104878;
