time;density
0.0;0.0015001500150015;
0.01;0.0027002700270027003;
0.02;0.004500450045004501;
0.03;0.0054005400540054005;
0.04;0.008100810081008101;
0.05;0.009600960096009602;
0.06;0.011701170117011703;
0.07;0.013501350135013503;
0.08;0.014401440144014403;
0.09;0.015601560156015604;
0.1;0.016801680168016805;
0.11;0.018001800180018006;
0.12;0.018901890189018906;
0.13;0.019801980198019806;
0.14;0.020702070207020706;
0.15;0.021602160216021606;
0.16;0.024002400240024008;
0.17;0.025502550255025506;
0.18;0.027002700270027005;
0.19;0.027902790279027905;
0.2;0.029402940294029404;
0.21;0.030303030303030304;
0.22;0.0318031803180318;
0.23;0.0336033603360336;
0.24;0.0354035403540354;
0.25;0.037803780378037805;
0.26;0.04020402040204021;
0.27;0.04200420042004201;
0.28;0.043204320432043204;
0.29;0.0447044704470447;
0.3;0.0459045904590459;
0.31;0.0459045904590459;
0.32;0.0474047404740474;
0.33;0.0483048304830483;
0.34;0.0498049804980498;
0.35000000000000003;0.051005100510051;
0.36;0.0522052205220522;
0.37;0.0531053105310531;
0.38;0.0552055205520552;
0.39;0.056105610561056105;
0.4;0.0573057305730573;
0.41000000000000003;0.0594059405940594;
0.42;0.0606060606060606;
0.43;0.061506150615061504;
0.44;0.0639063906390639;
0.45;0.06510651065106511;
0.46;0.06690669066906692;
0.47000000000000003;0.06840684068406842;
0.48;0.06960696069606963;
0.49;0.07050705070507053;
0.5;0.07260726072607263;
0.51;0.07380738073807383;
0.52;0.07560756075607564;
0.53;0.07680768076807684;
0.54;0.07830783078307835;
0.55;0.07980798079807985;
0.56;0.08160816081608166;
0.5700000000000001;0.08370837083708375;
0.58;0.08490849084908496;
0.59;0.08640864086408646;
0.6;0.08790879087908797;
0.61;0.08880888088808887;
0.62;0.09060906090609068;
0.63;0.09240924092409249;
0.64;0.09360936093609369;
0.65;0.09570957095709579;
0.66;0.09690969096909699;
0.67;0.09720972097209729;
0.68;0.0990099009900991;
0.6900000000000001;0.1005100510051006;
0.7000000000000001;0.10141014101410151;
0.71;0.10231023102310241;
0.72;0.1047104710471048;
0.73;0.10591059105910601;
0.74;0.10651065106510661;
0.75;0.10831083108310842;
0.76;0.10891089108910902;
0.77;0.11101110111011112;
0.78;0.11341134113411351;
0.79;0.1155115511551156;
0.8;0.11671167116711681;
0.81;0.11701170117011711;
0.8200000000000001;0.11821182118211832;
0.8300000000000001;0.11881188118811892;
0.84;0.11941194119411952;
0.85;0.12151215121512161;
0.86;0.12331233123312342;
0.87;0.12451245124512463;
0.88;0.12631263126312642;
0.89;0.12751275127512762;
0.9;0.12871287128712883;
0.91;0.12961296129612973;
0.92;0.13141314131413154;
0.93;0.13261326132613274;
0.9400000000000001;0.13381338133813395;
0.9500000000000001;0.13501350135013515;
0.96;0.13741374137413756;
0.97;0.13861386138613876;
0.98;0.14011401140114027;
0.99;0.14011401140114027;
1.0;0.14131413141314147;
