time;density;r4
0.0;0.11251615519120144;0.06999999999999926;
0.01;0.14414231773143105;0.06999999999999926;
0.02;0.1776184080484529;0.06999999999999926;
0.03;0.20790147233977851;0.06999999999999926;
0.04;0.239705025214769;0.06999999999999926;
0.05;0.263779427789463;0.06999999999999926;
0.06;0.2890955627074833;0.06999999999999926;
0.07;0.3132966726641494;0.06999999999999926;
0.08;0.33625605027748917;0.06999999999999926;
0.09;0.3560224018651327;0.06999999999999926;
0.1;0.3872177593066572;0.06999999999999926;
0.11;0.41874255594130916;0.06999999999999926;
0.12;0.43541724740883403;0.06999999999999926;
0.13;0.4546260865158004;0.06999999999999926;
0.14;0.4696028990648995;0.06999999999999926;
0.15;0.48691112744228476;0.06999999999999926;
0.16;0.503915258102937;0.06999999999999926;
0.17;0.5203111933301233;0.06999999999999926;
0.18;0.5371125921796203;0.06999999999999926;
0.19;0.5502394769519271;0.06999999999999926;
0.2;0.5636451179645725;0.06999999999999926;
0.21;0.578824662324827;0.06999999999999926;
0.22;0.5931932794404602;0.06999999999999926;
0.23;0.6078659942728263;0.06999999999999926;
0.24;0.6221585869592762;0.06999999999999926;
0.25;0.6334355439547907;0.06999999999999926;
0.26;0.644940574237855;0.06999999999999926;
0.27;0.655077164795621;0.06999999999999926;
0.28;0.666202072932769;0.06999999999999926;
0.29;0.6794556650870479;0.06999999999999926;
0.3;0.6915182078507893;0.06999999999999926;
0.31;0.7009452370695116;0.06999999999999926;
0.32;0.7114366082967993;0.06999999999999926;
0.33;0.7206609057043663;0.06999999999999926;
0.34;0.729505080966017;0.06999999999999926;
0.35000000000000003;0.7389321101847393;0.06999999999999926;
0.36;0.7475735536352347;0.06999999999999926;
0.37;0.754922581789615;0.06999999999999926;
0.38;0.7640961962443932;0.06999999999999926;
0.39;0.7732698106991713;0.06999999999999926;
0.4;0.7805934973771572;0.06999999999999926;
0.41000000000000003;0.7878918425787487;0.06999999999999926;
0.42;0.79432857758293;0.06999999999999926;
0.43;0.8020070449304376;0.06999999999999926;
0.44;0.8077849015483641;0.06999999999999926;
0.45;0.8121689769645979;0.06999999999999926;
0.46;0.8194926636425838;0.06999999999999926;
0.47000000000000003;0.8254985935480601;0.06999999999999926;
0.48;0.8293758394364056;0.06999999999999926;
0.49;0.8359139403461646;0.06999999999999926;
0.5;0.8398672106636933;0.06999999999999926;
0.51;0.8450622133245483;0.06999999999999926;
0.52;0.8506880210841085;0.06999999999999926;
0.53;0.8546666328780316;0.06999999999999926;
0.54;0.8590253668178709;0.06999999999999926;
0.55;0.8637895643800209;0.06999999999999926;
0.56;0.8679962494614937;0.06999999999999926;
0.5700000000000001;0.8736473986974481;0.06999999999999926;
0.58;0.8791211575986417;0.06999999999999926;
0.59;0.8854818681736398;0.06999999999999926;
0.6;0.8867996249461494;0.06999999999999926;
0.61;0.8905248219761284;0.06999999999999926;
0.62;0.8941233116241353;0.06999999999999926;
0.63;0.8985580699931579;0.06999999999999926;
0.64;0.902536681787081;0.06999999999999926;
0.65;0.9047160487570007;0.06999999999999926;
0.66;0.9078077088771194;0.06999999999999926;
0.67;0.909556270748334;0.06999999999999926;
0.68;0.9120397354349866;0.06999999999999926;
0.6900000000000001;0.915182078507894;0.06999999999999926;
0.7000000000000001;0.9177922505765187;0.06999999999999926;
0.71;0.9195408124477333;0.06999999999999926;
0.72;0.9222016674691469;0.06999999999999926;
0.73;0.9244063759154609;0.06999999999999926;
0.74;0.9266364258381694;0.06999999999999926;
0.75;0.9295253541471327;0.06999999999999926;
0.76;0.9315273307822914;0.06999999999999926;
0.77;0.9325663313144624;0.06999999999999926;
0.78;0.9333012341299004;0.06999999999999926;
0.79;0.9354552596234257;0.06999999999999926;
0.8;0.9364435772028079;0.06999999999999926;
0.81;0.937609285116951;0.06999999999999926;
0.8200000000000001;0.939256481082588;0.06999999999999926;
0.8300000000000001;0.9419680190567904;0.06999999999999926;
0.84;0.9433364587820888;0.06999999999999926;
0.85;0.945059679176909;0.06999999999999926;
0.86;0.9466055092369683;0.06999999999999926;
0.87;0.9483033881553941;0.06999999999999926;
0.88;0.9497985352626646;0.06999999999999926;
0.89;0.9528648539063888;0.06999999999999926;
0.9;0.95367578115101;0.06999999999999926;
0.91;0.9553736600694358;0.06999999999999926;
0.92;0.9571982463698336;0.06999999999999926;
0.93;0.9594536377689366;0.06999999999999926;
0.9400000000000001;0.9608981019234182;0.06999999999999926;
0.9500000000000001;0.9622665416487166;0.06999999999999926;
0.96;0.9636603228504094;0.06999999999999926;
0.97;0.9650794455284966;0.06999999999999926;
0.98;0.9656622994855681;0.06999999999999926;
0.99;0.9675882516915436;0.06999999999999926;
1.0;0.968348495983376;0.06999999999999926;
1.01;0.9696409112794911;0.06999999999999926;
1.02;0.9706038873824789;0.06999999999999926;
1.03;0.9717949367730164;0.06999999999999926;
1.04;0.9727832543523987;0.06999999999999926;
1.05;0.9743797673652468;0.06999999999999926;
1.06;0.9745064747472189;0.06999999999999926;
1.07;0.9754187678974178;0.06999999999999926;
1.08;0.9760523048072781;0.06999999999999926;
1.09;0.9768885735282938;0.06999999999999926;
1.1;0.97726869567421;0.06999999999999926;
1.11;0.9776488178201262;0.06999999999999926;
1.12;0.9780796229188313;0.06999999999999926;
1.1300000000000001;0.9790932819746079;0.06999999999999926;
1.1400000000000001;0.9793973796913409;0.06999999999999926;
1.1500000000000001;0.9802083069359622;0.06999999999999926;
1.16;0.9810445756569779;0.06999999999999926;
1.17;0.9824383568586706;0.06999999999999926;
1.18;0.9828691619573757;0.06999999999999926;
