r4;piO;ic;pi;ic;piR;ic;piF;ic;cV;ic;cS;ic;cT;ic
000.660000000;000.003822596;000.009786482;000.024748833;000.009786482;000.000000000;000.000000000;000.000000000;000.000000000;000.247488329;000.097864821;000.169714286;000.000000000;000.417202615;000.097864821;
000.650000000;000.004489466;000.021771605;000.023288312;000.021771605;000.000000000;000.000000000;000.000000000;000.000000000;000.232883123;000.217716051;000.162500000;000.000000000;000.395383123;000.217716051;
000.640000000;000.003687011;000.016306899;000.023340016;000.016306899;000.000000000;000.000000000;000.000000000;000.000000000;000.233400155;000.163068987;000.155675676;000.000000000;000.389075831;000.163068987;
000.630000000;000.003250218;000.012772185;000.023065571;000.012772185;000.000000000;000.000000000;000.000000000;000.000000000;000.230655714;000.127721850;000.149210526;000.000000000;000.379866241;000.127721850;
000.620000000;000.004264030;000.014674200;000.021376996;000.014674200;000.000000000;000.000000000;000.000000000;000.000000000;000.213769960;000.146741995;000.143076923;000.000000000;000.356846883;000.146741995;
000.610000000;000.004165416;000.010764355;000.020834584;000.010764355;000.000000000;000.000000000;000.000000000;000.000000000;000.208345839;000.107643552;000.137250000;000.000000000;000.345595839;000.107643552;
000.600000000;000.004325363;000.014332816;000.020064881;000.014332816;000.000000000;000.000000000;000.000000000;000.000000000;000.200648809;000.143328164;000.131707317;000.000000000;000.332356126;000.143328164;
000.590000000;000.002947031;000.010127739;000.020862492;000.010127739;000.000000000;000.000000000;000.000000000;000.000000000;000.208624925;000.101277387;000.126428571;000.000000000;000.335053496;000.101277387;
000.580000000;000.004826193;000.010193358;000.018429621;000.010193358;000.000000000;000.000000000;000.000000000;000.000000000;000.184296211;000.101933582;000.121395349;000.000000000;000.305691560;000.101933582;
000.570000000;000.003689114;000.018642044;000.019038159;000.018642044;000.000000000;000.000000000;000.000000000;000.000000000;000.190381585;000.186420437;000.116590909;000.000000000;000.306972494;000.186420437;
000.560000000;000.002998570;000.020112322;000.019223652;000.020112322;000.000000000;000.000000000;000.000000000;000.000000000;000.192236521;000.201123219;000.112000000;000.000000000;000.304236521;000.201123219;
000.550000000;000.002254526;000.010964416;000.019484604;000.010964416;000.000000000;000.000000000;000.000000000;000.000000000;000.194846045;000.109644163;000.107608696;000.000000000;000.302454740;000.109644163;
000.540000000;000.003285976;000.021022206;000.017990619;000.021022206;000.000000000;000.000000000;000.000000000;000.000000000;000.179906194;000.210222064;000.103404255;000.000000000;000.283310449;000.210222064;
000.530000000;000.003856138;000.020548613;000.016977195;000.020548613;000.000000000;000.000000000;000.000000000;000.000000000;000.169771950;000.205486128;000.099375000;000.000000000;000.269146950;000.205486128;
000.520000000;000.003735208;000.018318888;000.016672956;000.018318888;000.000000000;000.000000000;000.000000000;000.000000000;000.166729558;000.183188875;000.095510204;000.000000000;000.262239762;000.183188875;
000.510000000;000.003091827;000.017168112;000.016908173;000.017168112;000.000000000;000.000000000;000.000000000;000.000000000;000.169081727;000.171681116;000.091800000;000.000000000;000.260881727;000.171681116;
000.500000000;000.002289024;000.013903350;000.017318819;000.013903350;000.000000000;000.000000000;000.000000000;000.000000000;000.173188194;000.139033501;000.088235294;000.000000000;000.261423488;000.139033501;
000.490000000;000.002775669;000.017001087;000.016455101;000.017001087;000.000000000;000.000000000;000.000000000;000.000000000;000.164551007;000.170010874;000.084807692;000.000000000;000.249358699;000.170010874;
000.480000000;000.001337291;000.008306261;000.017530634;000.008306261;000.000000000;000.000000000;000.000000000;000.000000000;000.175306335;000.083062607;000.081509434;000.000000000;000.256815769;000.083062607;
000.470000000;000.001690097;000.008480797;000.016828421;000.008480797;000.000000000;000.000000000;000.000000000;000.000000000;000.168284213;000.084807973;000.078333333;000.000000000;000.246617546;000.084807973;
000.460000000;000.002806872;000.017946399;000.015374947;000.017946399;000.000000000;000.000000000;000.000000000;000.000000000;000.153749465;000.179463988;000.075272727;000.000000000;000.229022192;000.179463988;
000.450000000;000.002881550;000.012393555;000.014975593;000.012393555;000.000000000;000.000000000;000.000000000;000.000000000;000.149755932;000.123935554;000.072321429;000.000000000;000.222077361;000.123935554;
000.440000000;000.001165825;000.008207203;000.016378035;000.008207203;000.000000000;000.000000000;000.000000000;000.000000000;000.163780346;000.082072035;000.069473684;000.000000000;000.233254030;000.082072035;
000.430000000;000.001245805;000.007786099;000.015995574;000.007786099;000.000000000;000.000000000;000.000000000;000.000000000;000.159955740;000.077860994;000.066724138;000.000000000;000.226679878;000.077860994;
000.420000000;000.001190673;000.009183259;000.015758479;000.009183259;000.000000000;000.000000000;000.000000000;000.000000000;000.157584791;000.091832586;000.064067797;000.000000000;000.221652587;000.091832586;
000.410000000;000.000855801;000.004744728;000.015810866;000.004744728;000.000000000;000.000000000;000.000000000;000.000000000;000.158108655;000.047447275;000.061500000;000.000000000;000.219608655;000.047447275;
000.400000000;000.001101770;000.007834497;000.015291673;000.007834497;000.000000000;000.000000000;000.000000000;000.000000000;000.152916727;000.078344973;000.059016393;000.000000000;000.211933121;000.078344973;
000.390000000;000.001646225;000.010941751;000.014482807;000.010941751;000.000000000;000.000000000;000.000000000;000.000000000;000.144828069;000.109417509;000.056612903;000.000000000;000.201440972;000.109417509;
