time;density;r4
0.0;0.029724279693273733;0.009999999999999247;
0.01;0.03440775614451029;0.009999999999999247;
0.02;0.03903928072180071;0.009999999999999247;
0.03;0.043710444879211885;0.009999999999999247;
0.04;0.048338966458008316;0.009999999999999247;
0.05;0.053034154603371464;0.009999999999999247;
0.06;0.05763865219421592;0.009999999999999247;
0.07;0.06219660330840344;0.009999999999999247;
0.08;0.066715515442169;0.009999999999999247;
0.09;0.07122541858045257;0.009999999999999247;
0.1;0.07576294930488092;0.009999999999999247;
0.11;0.08028276233819469;0.009999999999999247;
0.12;0.0847659387898817;0.009999999999999247;
0.13;0.08925301913961091;0.009999999999999247;
0.14;0.09369685631102656;0.009999999999999247;
0.15;0.09809594880488168;0.009999999999999247;
0.16;0.10242597233337487;0.009999999999999247;
0.17;0.1068103501346094;0.009999999999999247;
0.18;0.11117250574698836;0.009999999999999247;
0.19;0.11551514186915635;0.009999999999999247;
0.2;0.11983255280397476;0.009999999999999247;
0.21;0.1241253391511424;0.009999999999999247;
0.22;0.12840010750734607;0.009999999999999247;
0.23;0.13264995097604956;0.009999999999999247;
0.24;0.13681210688872839;0.009999999999999247;
0.25;0.14100519368589537;0.009999999999999247;
0.26;0.14519197418622495;0.009999999999999247;
0.27;0.1493207968156204;0.009999999999999247;
0.28;0.15346853833552804;0.009999999999999247;
0.29;0.15763069424820686;0.009999999999999247;
0.3;0.1617631204757951;0.009999999999999247;
0.31;0.16588473590880498;0.009999999999999247;
0.32;0.17001175673910404;0.009999999999999247;
0.33;0.17406430320675198;0.009999999999999247;
0.34;0.17809432718569496;0.009999999999999247;
0.35000000000000003;0.18211203887081254;0.009999999999999247;
0.36;0.18612584665788792;0.009999999999999247;
0.37;0.19009160646905937;0.009999999999999247;
0.38;0.19410661545553237;0.009999999999999247;
0.39;0.1980150179954685;0.009999999999999247;
0.4;0.20188618335407907;0.009999999999999247;
0.41000000000000003;0.20581350478452737;0.009999999999999247;
0.42;0.20967776324660176;0.009999999999999247;
0.43;0.21354172140882674;0.009999999999999247;
0.44;0.21730297702255705;0.009999999999999247;
0.45;0.22116663488493263;0.009999999999999247;
0.46;0.2249633258808921;0.009999999999999247;
0.47000000000000003;0.22869725420832704;0.009999999999999247;
0.48;0.23243148283561138;0.009999999999999247;
0.49;0.2361777234568717;0.009999999999999247;
0.5;0.2399612012594576;0.009999999999999247;
0.51;0.24365398850752482;0.009999999999999247;
0.52;0.24733146046327262;0.009999999999999247;
0.53;0.25101523871585785;0.009999999999999247;
0.54;0.2546858037750695;0.009999999999999247;
0.55;0.2582581707835274;0.009999999999999247;
0.56;0.2618245317949974;0.009999999999999247;
0.5700000000000001;0.2654098116969795;0.009999999999999247;
0.58;0.26899028680137127;0.009999999999999247;
0.59;0.2725079992372385;0.009999999999999247;
0.6;0.27602030627581653;0.009999999999999247;
0.61;0.27952630701755715;0.009999999999999247;
0.62;0.2830428182540268;0.009999999999999247;
0.63;0.2865749450826652;0.009999999999999247;
0.64;0.29005722213630325;0.009999999999999247;
0.65;0.2935184782004833;0.009999999999999247;
0.66;0.29697372826767543;0.009999999999999247;
0.67;0.3004358852314037;0.009999999999999247;
0.68;0.30382026453413746;0.009999999999999247;
0.6900000000000001;0.30719653574093747;0.009999999999999247;
0.7000000000000001;0.3105665006509001;0.009999999999999247;
0.71;0.3139190481695975;0.009999999999999247;
0.72;0.3172691932894997;0.009999999999999247;
0.73;0.32059231142295597;0.009999999999999247;
0.74;0.3238457599913515;0.009999999999999247;
0.75;0.3272154246014647;0.009999999999999247;
0.76;0.3305556598263367;0.009999999999999247;
0.77;0.33375024962424993;0.009999999999999247;
0.78;0.3370481425703566;0.009999999999999247;
0.79;0.34027966924974595;0.009999999999999247;
0.8;0.3435120968286835;0.009999999999999247;
0.81;0.3467135935231329;0.009999999999999247;
0.8200000000000001;0.34988205723414834;0.009999999999999247;
0.8300000000000001;0.3530601305403446;0.009999999999999247;
0.84;0.35620126696506466;0.009999999999999247;
0.85;0.35931777880213395;0.009999999999999247;
0.86;0.3624126690500465;0.009999999999999247;
0.87;0.3655754270639233;0.009999999999999247;
0.88;0.36870274969557104;0.009999999999999247;
0.89;0.37181565793444754;0.009999999999999247;
0.9;0.3749201577775409;0.009999999999999247;
0.91;0.3779579910540675;0.009999999999999247;
0.92;0.38096279134716016;0.009999999999999247;
0.93;0.38393726135546347;0.009999999999999247;
0.9400000000000001;0.3869102298645198;0.009999999999999247;
0.9500000000000001;0.3898853004725219;0.009999999999999247;
0.96;0.39283124199513225;0.009999999999999247;
0.97;0.39578679311292336;0.009999999999999247;
0.98;0.3987282301377927;0.009999999999999247;
0.99;0.40162221978645685;0.009999999999999247;
1.0;0.404559752913284;0.009999999999999247;
1.01;0.4074444332666168;0.009999999999999247;
1.02;0.4103981825853115;0.009999999999999247;
1.03;0.41326274284873454;0.009999999999999247;
1.04;0.4160912671302296;0.009999999999999247;
1.05;0.4188876593278389;0.009999999999999247;
1.06;0.4217119794114424;0.009999999999999247;
1.07;0.4245236869013711;0.009999999999999247;
1.08;0.42739094986343873;0.009999999999999247;
1.09;0.4301486033804755;0.009999999999999247;
1.1;0.4329230736890786;0.009999999999999247;
1.11;0.435659405916808;0.009999999999999247;
1.12;0.43835459706516966;0.009999999999999247;
1.1300000000000001;0.44110924758371245;0.009999999999999247;
1.1400000000000001;0.443873507697436;0.009999999999999247;
1.1500000000000001;0.44662515521748475;0.009999999999999247;
1.16;0.4493092352714186;0.009999999999999247;
1.17;0.4519849069295693;0.009999999999999247;
